title,description,text,date,language
"UPDATE 1-Swiss Re swings to Q1 net profit, better than expected - Reuters","Swiss Re swung to a net profit in the first three months of the year in figures that were better than expected, as it recovers from the impact of the coronavirus pandemic, the reinsurer said on Friday.","By Reuters Staff
FILE PHOTO: The logo of insurance company Swiss Re is seen in front of its headquarters in Zurich, Switzerland February 12, 2019. REUTERS/Arnd WIegmann
FRANKFURT (Reuters) - Swiss … [+950 chars]",2021-04-30,en
Analysis: Global liquidity is shrinking and that's no bad thing - Reuters,"After a year of record-breaking cash injections, the world's big central banks are starting to ease off the stimulus pedal, forcing economies and financial markets to practise walking on their own again.","Dividers are seen inside a trading post on the trading floor as preparations are made for the return to trading at the New York Stock Exchange (NYSE) in New York, U.S., May 22, 2020. REUTERS/Brendan … [+4566 chars]",2021-05-20,en
La crainte de l’inflation agite les marchés financiers,"DÉCRYPTAGE - Après un fort rebond des prix aux États-Unis sous l’effet de la relance de Biden, l’Europe redoute une contagion qui menacerait la stabilité financière.","DÉCRYPTAGE - Après un fort rebond des prix aux États-Unis sous leffet de la relance de Biden, lEurope redoute une contagion qui menacerait la stabilité financière.Cest un temps dont les moins de 60 a… [+1218 chars]",2021-05-21,fr
La redistribution amortit les inégalités,"Selon l’Insee, environ 10 millions de personnes seraient en situation de pauvreté en France.","Selon lInsee, environ 10 millions de personnes seraient en situation de pauvreté en France.En France, les inégalités restent contenues grâce aux puissants mécanismes de redistribution. En 2018, le ni… [+1130 chars]",2021-05-27,fr
Covid-19 : des territoires inégalement frappés par la crise économique,"INFOGRAPHIE - Si la crise sanitaire a entraîné une baisse d'activité générale en France, l'Insee révèle d'importantes disparités géographiques.","INFOGRAPHIE - Si la crise sanitaire a entraîné une baisse d'activité générale en France, l'Insee révèle d'importantes disparités géographiques.«La localisation des emplois, leur nature, ainsi que la … [+5766 chars]",2021-04-30,fr
Le fiasco d’Archegos secoue la finance,"La société a fait perdre de lourdes sommes d’argent à UBS, Nomura, Credit Suisse et à d’autres concurrents.","La société a fait perdre de lourdes sommes dargent à UBS, Nomura, Credit Suisse et à dautres concurrents.«Ils ne mourraient pas tous, mais tous étaient frappés.» À limage des Animaux malades de la pe… [+2031 chars]",2021-04-27,fr
"Mere, le hard-discounter venu de Russie à la conquête de l’Ouest","L’entreprise est née en Sibérie, en 2009, des suites de la crise financière et du basculement dans la pauvreté de millions de Russes. Réputée peu regardante sur l’origine et la qualité de ses produits, elle s’attaque désormais aux marchés occidentaux.","La devanture dun magasin Mere à Riga en Lettonie, en mars 2021. COMMUNICATION MERE
En choisissant lAllemagne pour son entrée en Europe de lOuest, en janvier 2019, le russe Mere sest offert un joli c… [+2984 chars]",2021-05-02,fr
« L’Union européenne définit un “consensus de Bruxelles” en prenant le contre-pied des erreurs commises lors de la crise financière de 2008 »,"Les eurodéputés europhiles et macronistes Pascal Canfin, Bernard Guetta et Stéphane Séjourné viennent à la rescousse de l’Union, et plus particulièrement de la politique vaccinale de la Commission européenne, dans une tribune au « Monde ».","Tribune. Non, lUnion nest pas en perdition. Au milieu des récifs, face au vent, elle aborde seulement de nouveaux rivages, passant à la recherche de son unité politique après avoir constitué le march… [+2525 chars]",2021-04-27,fr
La finance du monde d'après ressemble furieusement à celle d'avant,"La crise sanitaire et économique, entend-on dire, doit être l'occasion de repartir sur des bases nouvelles vers un monde plus vert, plus harmonieux, plus juste. Quand on regarde ce qui se passe dans la finance, on est tenté de penser qu'il ne faut pas trop rê…","Temps de lecture: 9 min
La confusion actuelle est totale. Certains pays, forts des résultats obtenus dans leur lutte contre le Covid-19 et des progrès de la vaccination, avancent résolument sur la v… [+13201 chars]",2021-05-04,fr
"Dix ans après, que reste-t-il du mouvement des “indignés” en Espagne ?","Succès médiatique pour les uns, utopie irréalisable pour les autres, le mouvement des “indignés”, qui a fêté ses dix ans le 15 mai, a marqué l’histoire récente de l’Espagne, estime la presse outre Pyrénées.","Succès médiatique pour les uns, utopie irréalisable pour les autres, le mouvement des indignés, qui a fêté ses dix ans le 15 mai, a marqué lhistoire récente de lEspagne, estime la presse outre Pyréné… [+1297 chars]",2021-05-17,fr
"Barbara Lefebvre: «Puisque la France est à droite, reste à savoir laquelle !»","FIGAROVOX/TRIBUNE - L'alliance de fait entre LREM et LR pour les régionales en PACA doit pousser la «vraie» droite à se reconstituer autour des fondamentaux politiques puissants, plaide l'enseignante et essayiste Barbara Lefebvre.","FIGAROVOX/TRIBUNE - L'alliance de fait entre LREM et LR pour les régionales en PACA doit pousser la «vraie» droite à se reconstituer autour des fondamentaux politiques puissants, plaide l'enseignante… [+9403 chars]",2021-05-04,fr
"Espagne : la gauche prend une claque, Iglesias prend la porte","Le fondateur de Podemos, allié au gouvernement socialiste de Pedro Sánchez, s’est retiré mardi de la vie politique, après la victoire des conservateurs aux élections régionales. Un séisme dans un pays où l’extrême droite ne cesse de gagner du terrain.","«Lorsquon cesse dêtre utile, il faut savoir se retirer.» Contrit, le visage pâle, lhomme de gauche qui a révolutionné la politique espagnole au cours de la dernière décennie, a jeté léponge. Mardi, s… [+4448 chars]",2021-05-05,fr
Immobilier : le boom post-Covid auquel personne ne s’attendait vraiment,"Dans de nombreux pays, les prix de l'immobilier montent en flèche depuis le début de la crise sanitaire. Contrairement à la crise de 2008 qui était centrée sur l'immobilier, ce secteur bénéficie cette fois de nombreux éléments favorables : essor du télétravai…","Atlantico : Dans de nombreux pays du monde (Nouvelle Zélande, Etats-Unis, Allemagne, Chine, Pérou…), les prix de l’immobilier montent en flèche alors que la situation sanitaire et économique aurait p… [+4742 chars]",2021-05-15,fr
"Avec Army of the Dead, Zack Snyder entend montrer que les zombies sont aussi des victimes",La sortie du film sur Netflix est le point final d'un projet horrifique à plus d'un titre qui a bien failli ne jamais quitter le purgatoire hollywoodien.,La sortie du film sur Netflix est le point final d'un projet horrifique à plus d'un titre qui a bien failli ne jamais quitter le purgatoire hollywoodien.Ramener à la vie le scénario d'un film de zomb… [+6407 chars],2021-05-20,fr
Crises financières : pourquoi l’inéluctable retour du même ?,Un exercice intéressant aura lieu demain : je serai interrogé par la revue Savoir/Agir sur mon article intitulé La compréhension des crises financières et de leur répétition qui parut en juin 2008 dans le numéro 4 de la revue (pages 11–18). Je vous en avais p…,Un exercice intéressant aura lieu demain : je serai interrogé par la revue Savoir/Agir sur mon article intitulé La compréhension des crises financières et de leur répétition qui parut en juin 2008 da… [+21080 chars],2021-04-28,fr
L'aide à l'embauche des jeunes a créé 60.000 emplois depuis août 2020,"Deux rapports, l'un de la Dares, l'autre du Conseil d’analyse économique (CAE), évaluent l'une des mesures du plan jeune du gouvernement, l'aide à l'embauche des jeunes (AEJ). Et les conclusions sont similaires: cette aide exceptionnelle a permis de créer des…","Les aides à l’embauche pour les jeunes, ça marche mais ça coûte cher. C’est en gros la tonalité de deux notes publiées ce mercredi 12 mai, l’une par la Dares, l’autre par le Conseil d’analyse économi… [+2398 chars]",2021-05-12,fr
Le risque d’un retour de l’inflation n’est pas une chimère,"Il est légitime de suspecter que la longue tendance de désinflation des dernières décennies puisse être mise à mal, juge Didier Saint-Georges, membre du Comité d’investissement stratégique de Carmignac.","LAdministration de Joe Biden (ici le 7 mai) surpasse dans son ampleur lépisode de la relance Rooseveltienne des années 30. JONATHAN ERNST / REUTERS
Les prévisions dinflation, comme celles sur le niv… [+2600 chars]",2021-05-19,fr
Pourquoi la crise du Covid-19 est plus grave que les précédentes,L’impact économique de la pandémie est encore devant nous et risque de creuser de façon très inquiétante le fossé entre pays riches et pays en développement.,"On na pas encore véritablement pris la mesure de la spécificité de la crise induite par lépidémie de Covid-19 vis-à-vis des crises économiques antérieures, et notamment des dernières en date, celles … [+3664 chars]",2021-05-18,fr
Investissement responsable : de la morale au pragmatisme,"D’origine religieuse, l’investissement socialement responsable (ISR) a beaucoup évolué au cours des vingt dernières années. Désormais, les gérants doivent prouver un impact positif de leurs placements pour la société.","Depuis quelques années, la lutte contre le réchauffement climatique a ouvert la voie à un nouveau volet dans lhistoire de lISR. REB IMAGES/BLEND IMAGES/PHOTONONSTOP
Les 20 ans du « Monde Argent »
I… [+2621 chars]",2021-04-29,fr
Scandale Greensill: l'heure des explications pour David Cameron,"Il se trouve au coeur du scandale politique provoqué par la faillite de la société financière Greensill: l'ancien Premier ministre britannique David Cameron s'explique jeudi devant une commission parlementaire sur ses activités controversées de lobbyisme. 
L'…",Il se trouve au coeur du scandale politique provoqué par la faillite de la société financière Greensill: l'ancien Premier ministre britannique David Cameron s'explique jeudi devant une commission par… [+4066 chars],2021-05-12,fr
La sortie de la crise Covid-19 va-t-elle acter le déclassement de l'Europe ?,FOCUS DATA. La zone euro prend-elle le chemin d'« un décrochage par rapport aux États-Unis et à la Chine » ? C'est ce que craignent plusieurs milieux économiques au regard des perspectives de croissance de ces trois puissances qui sont entrées dans une course…,"La course à la vaccination fait désormais place à celle du leadership dans le monde d'après, à grand renfort de messages d'optimisme. ""La vaccination s'accélère en Europe : nous venons de dépasser le… [+4459 chars]",2021-05-07,fr
Dans les entrailles de Bercy : comment l'Etat lève des milliards de dettes « quoi qu'il en coûte »,"REPORTAGE. Face à l'ampleur de la crise, l'Agence France Trésor peut lever plusieurs dizaines de milliards d'euros chaque mois. La Tribune a eu accès aux coulisses de cette salle des marchés au coeur de l'appareil d'Etat qui souffle cette année ses 20 bougies.","""Plus que trois minutes avant la fin de la (*) séance""... derrière les murs d'écrans multicolores remplis de chiffres, la pression monte sur les opérateurs les yeux rivés sur le compte à rebours. Au … [+7039 chars]",2021-05-25,fr
